Sample,T_C,P_bar,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,S6ST,total_mass_g,Type,Place,Colour,Symbol,reference
Sari15-04-33_30,1123.890713,,47.73355047,0.747108205,16.87163402,,,,9.631399997,0.183773218,6.012243798,11.521202,2.165811868,0.618454071,0.17268802,3.941515232,1440.341116,1334.95379,0,0.193974331,,,,,lightgrey,circle,
Sari15-04-33_31,1237.340532,,48.68046967,0.751279765,16.76154555,,,,9.551461268,0.172374817,5.978120381,11.55818888,2.105266053,0.67715117,0.175041533,3.986799221,1509.900444,1456.075983,0,0.195461376,,,,,lightgrey,circle,
Sari15-04-33_32,1158.378694,,46.74069353,0.755641928,16.65408956,,,,9.537119224,0.179210916,5.900080233,11.72551276,2.175080778,0.669194983,0.172552553,3.691287718,1497.100352,1512.407635,0,0.198598624,,,,,lightgrey,circle,
Sari15-04-33_33,1269.639218,,47.86022537,0.763408821,16.46031072,,,,9.372377313,0.180378569,5.937355033,11.54295295,2.143537709,0.632135072,0.182378274,4.221357859,1500.080757,1322.389886,0,0.188469871,,,,,lightgrey,circle,
Sari15-04-33_34,1166.945295,,47.83658978,0.756649429,16.87011955,,,,9.369694071,0.198040802,5.860407347,11.44133848,2.152750765,0.668041975,0.172530984,3.942776534,1318.372873,1531.438191,0,0.202525966,,,,,lightgrey,circle,
Sari15-04-33_35,1138.524575,,47.04352691,0.740035721,16.88953148,,,,9.356852421,0.193689806,5.971201564,11.58825905,2.168563082,0.612709524,0.17280949,3.793527215,1546.87055,1424.115898,0,0.197704355,,,,,lightgrey,circle,
Sari15-04-33_36,1251.27665,,46.56609971,0.744835578,16.77644365,,,,9.468528523,0.180520009,5.855232125,11.48563606,2.13616775,0.687441131,0.16699553,4.309674307,1469.913255,1395.517454,0,0.189372458,,,,,lightgrey,circle,
Sari15-04-33_37,1197.78022,,48.05559105,0.761673567,17.06941675,,,,9.466572185,0.194407138,5.974555986,11.52325407,2.142039919,0.686504341,0.166166565,4.499006241,1532.05126,1582.39627,0,0.201815208,,,,,lightgrey,circle,
Sari15-04-33_38,1182.664228,,47.83889467,0.747181605,16.77262381,,,,9.435679827,0.16539592,5.842613665,11.82849693,2.120246086,0.614285456,0.15422438,4.533678902,1429.704672,1449.081719,0,0.192890346,,,,,lightgrey,circle,
Sari15-04-33_39,1206.42719,,47.49931804,0.754611176,16.73633938,,,,9.379499427,0.182271283,5.910101352,11.62284829,2.086198475,0.651455903,0.16636654,3.621332278,1563.021815,1333.625781,0,0.196668925,,,,,lightgrey,circle,
Sari15-04-33_40,1192.425984,,48.06633807,0.735621523,16.91336884,,,,9.407518101,0.176148018,5.871143007,11.58592648,2.128682898,0.700703118,0.161396551,3.95806297,1390.867966,1236.458607,0,0.19957596,,,,,lightgrey,circle,
Sari15-04-33_41,1205.558203,,47.89420287,0.746035262,16.61459129,,,,9.386670978,0.199778241,5.86106717,11.68771948,2.122218869,0.675142611,0.180047283,4.303629697,1475.07974,1313.247603,0,0.199037227,,,,,lightgrey,circle,
Sari15-04-33_42,1103.447562,,48.1163545,0.740368272,16.78668039,,,,9.300589943,0.181143896,5.95281621,11.36089922,2.121111677,0.63719658,0.169976897,4.071631497,1542.249037,1461.371468,0,0.192814284,,,,,lightgrey,circle,
Sari15-04-33_43,1191.545388,,47.61464066,0.738687379,16.50055351,,,,9.349893417,0.182742203,5.952954652,11.69318769,2.139990885,0.663460394,0.174528946,4.444504868,1413.468493,1450.214019,0,0.190610531,,,,,lightgrey,circle,
Sari15-04-33_44,1151.497892,,48.31068044,0.741905553,16.99510582,,,,9.453665889,0.174058424,5.815001851,11.61987186,2.148240508,0.654528416,0.166747101,4.705469174,1507.464452,1535.932211,0,0.197229397,,,,,lightgrey,circle,
Sari15-04-33_45,1228.883323,,48.32093475,0.748854542,16.67767344,,,,9.390651137,0.162195735,5.905232087,11.65709184,2.159819303,0.582517052,0.170362233,3.893014559,1344.29901,1173.136795,0,0.190597754,,,,,lightgrey,circle,
Sari15-04-33_46,1140.103673,,47.81509611,0.737649978,16.82087863,,,,9.463694744,0.190274286,5.938412785,11.67110586,2.15941014,0.650202133,0.167763008,3.759300741,1580.028219,1559.651157,0,0.19819861,,,,,lightgrey,circle,
Sari15-04-33_47,1163.828002,,48.73568264,0.741143594,16.65760713,,,,9.575002893,0.19272019,5.960073371,11.62156841,2.156487995,0.673116851,0.174983252,4.357517355,1369.072581,1173.773872,0,0.193912821,,,,,lightgrey,circle,
Sari15-04-33_48,1264.969873,,47.57727308,0.746503547,16.86037209,,,,9.349087649,0.185043515,5.941032238,11.69193786,2.173993878,0.640512308,0.174502859,4.006614837,1530.595077,1474.368858,0,0.201014053,,,,,lightgrey,circle,
Sari15-04-33_49,1276.181882,,48.12517802,0.742209597,16.51628873,,,,9.472261288,0.185787705,5.840000061,11.56736909,2.113599301,0.623145341,0.173268256,3.926717985,1499.246558,1352.745195,0,0.192955004,,,,,lightgrey,circle,
Sari15-04-33_50,1215.674341,,48.05565959,0.76328043,16.68282351,,,,9.456353363,0.189220791,5.83576954,11.52775361,2.119589161,0.646820029,0.169914522,4.34914002,1556.630576,1541.442655,0,0.203013246,,,,,lightgrey,circle,
Sari15-04-33_51,1124.938372,,47.59298626,0.748260304,16.89719686,,,,9.597823796,0.184823802,5.982861628,11.54018217,2.129721122,0.66571746,0.170214364,4.523158662,1652.968298,1204.166897,0,0.186800838,,,,,lightgrey,circle,
Sari15-04-33_52,1212.905289,,47.55453446,0.743507557,16.63558848,,,,9.434484116,0.178589613,5.767288447,11.74069091,2.12334077,0.632849672,0.159341189,4.56989495,1435.384637,1526.212693,0,0.186036662,,,,,lightgrey,circle,
Sari15-04-33_53,1239.909074,,48.06588475,0.734054584,16.89610703,,,,9.371994782,0.170834532,5.938937663,11.53629771,2.097592567,0.653820691,0.176988619,3.97540508,1419.12942,1182.567198,0,0.192670668,,,,,lightgrey,circle,
Sari15-04-33_54,1225.222444,,47.46411102,0.755269484,16.82705059,,,,9.36763202,0.192929379,5.887868473,11.53236602,2.111011219,0.679664795,0.165516054,4.370607268,1446.873391,1528.294762,0,0.195544735,,,,,lightgrey,circle,
Sari15-04-33_55,1238.304402,,48.03502222,0.746419446,16.6018699,,,,9.45011258,0.178230299,5.941664533,11.53278986,2.180296418,0.640005466,0.169544941,4.576881936,1361.676315,944.8527325,0,0.18767239,,,,,lightgrey,circle,
Sari15-04-33_56,1156.76237,,47.8439145,0.738466553,16.51527052,,,,9.484604207,0.181954124,5.914600055,11.38862174,2.139207418,0.600743821,0.17605236,4.128492879,1384.405688,1144.163638,0,0.194809401,,,,,lightgrey,circle,
Sari15-04-33_57,1242.823336,,47.50060223,0.744899744,16.71466343,,,,9.425074351,0.186851781,5.999491369,11.61529612,2.160994799,0.62531551,0.178126472,4.283520009,1411.234802,1544.231291,0,0.192685944,,,,,lightgrey,circle,
Sari15-04-33_58,1153.988562,,47.7765889,0.738942399,16.5275718,,,,9.608216418,0.174336633,5.977344858,11.57512722,2.138545821,0.571451697,0.171407233,4.006959175,1520.698573,1340.927092,0,0.192253662,,,,,lightgrey,circle,
Sari15-04-33_59,1339.029614,,48.59124806,0.763019059,16.88819539,,,,9.396077585,0.179383538,5.928084464,11.56051527,2.146084384,0.597653651,0.175977898,4.103548957,1463.549546,1413.062739,0,0.198962448,,,,,lightgrey,circle,
Sari15-04-33_60,1213.027995,,47.65104062,0.760416685,16.82402873,,,,9.513755711,0.18142937,5.856416444,11.46821958,2.161914677,0.676721961,0.168155011,4.035789781,1578.750395,1231.270474,0,0.196203939,,,,,lightgrey,circle,
Sari15-04-33_61,1167.169298,,48.26106409,0.742574416,16.60697595,,,,9.36451222,0.169696253,5.924087366,11.73295066,2.141793982,0.579936502,0.16489102,4.07634064,1527.002557,1258.605663,0,0.200290123,,,,,lightgrey,circle,
Sari15-04-33_62,1218.01854,,47.27711022,0.754524842,17.04124685,,,,9.304920339,0.186720067,5.958731465,11.52162092,2.133987734,0.644523349,0.1728759,4.253731323,1475.233651,1639.922611,0,0.19581425,,,,,lightgrey,circle,
Sari15-04-33_63,1251.669948,,47.72738474,0.759819492,16.45952536,,,,9.297420271,0.171271361,5.97307504,11.73568855,2.12647036,0.633653008,0.167325514,4.238985176,1558.356246,1532.903294,0,0.198593148,,,,,lightgrey,circle,
Sari15-04-33_64,1134.994598,,48.55903988,0.747215399,16.72974118,,,,9.292033076,0.178212145,5.93624453,11.83787189,2.126123229,0.593575071,0.172656628,3.744579153,1601.603423,1488.580157,0,0.190563651,,,,,lightgrey,circle,
Sari15-04-33_65,1171.712303,,48.15106574,0.763389119,16.61692326,,,,9.456610923,0.183988164,6.021803307,11.62791922,2.156798771,0.618690285,0.161079039,4.072996663,1587.958638,1313.840982,0,0.194682508,,,,,lightgrey,circle,
Sari15-04-33_66,1179.55468,,47.5083543,0.743486773,16.78611629,,,,9.528115615,0.192236077,5.891436002,11.93524914,2.096843616,0.625780447,0.164263542,4.320870823,1426.800551,1218.606146,0,0.200608302,,,,,lightgrey,circle,
Sari15-04-33_67,1105.319522,,47.16470239,0.733870844,16.48385107,,,,9.417945876,0.179517493,5.894211813,11.65107315,2.1604539,0.604651327,0.172042045,3.995660621,1436.884201,1508.394186,0,0.196658484,,,,,lightgrey,circle,
Sari15-04-33_68,1267.021999,,48.49545753,0.750264153,16.82966287,,,,9.553511236,0.170006527,5.957754868,11.60593885,2.125152201,0.666004998,0.186255708,4.004669999,1403.232464,1537.53021,0,0.197013232,,,,,lightgrey,circle,
