Sample,T_C,final_T,P_bar,final_P,DNNO,DFMQ,logfO2,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,S6ST,wt_g,initial_CO2wtpc,xg_O2,xg_CO,xg_H2,xg_S2,fS2,total_mass_g,gas_volume,melt_volume,crystallisation_pc,bulk 34S/32S,bulk d34S,Notes,logfS2,,
Hawaii high Si,1200,,,,,-1,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,-0.8,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,-0.6,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,-0.4,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,-0.2,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0.2,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0.4,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0.6,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0.8,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,1,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,1.2,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,1.4,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,1.6,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,1.8,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,2,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,2.2,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,2.4,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,2.6,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,2.8,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,3,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,900,,100,,,0,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,,,,,,9.93E-09,6.54E-05,0.001250242,5.11E-08,,,,,,,0,,,,-17
Hawaii high Si,1200,,100,,,0,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,,,,,,9.93E-09,6.54E-05,0.001250242,5.11E-08,,,,,,,0,,,,-17
Hawaii high Si,1100,,100,,,0,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,,,,,,9.93E-09,6.54E-05,0.001250242,5.11E-08,,,,,,,0,,,,-17
Hawaii high Si,1000,,100,,,0,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,,,,,,9.93E-09,6.54E-05,0.001250242,5.11E-08,,,,,,,0,,,,-17
MORB2,1100,,158,,,,,47.4,1.01,17.64,0.89,7.18,,7.98,0,7.63,12.44,2.65,0.03,0.08,0.2,1100,1400,,,,,,3.55E-14,0.09125357,0.000178825,0.000129625,,,,,,,-1,,,,
Fuego,1100,,,,,,,49.67,1.17,16.5,1.65,8.43,,9.91,0.19,4.38,7.9,3.37,0.79,0.22,4,3500,2700,,,,,,1.59E-12,0.001591568,0.005233883,0.002171686,,,,,,,,,,,
Mono craters,800,,,,,,,77.19,0.06,12.8,0.26,0.71,,0.94,0,0.03,0.53,3.98,4.65,0,5,500,1000,,,,,,,,,,,,,,,,,,,,
Soufriere,1000,,,,,,,60.3,0.81,15.8,,,,5.49,0,2.8,6.56,1.94,0.32,0,5,300,300,,0.2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15kV_10nA_TFB030vii,1150,,,,,-1,,51.41618731,0.81041276,16.44837749,,,,9.859683545,0.150076437,6.943536485,11.87604871,1.800917244,0.450229311,0.12006115,5,500,100000,,,,,,,,,,,,,,,,,,,,
15kV_10nA_TFB030vii,1150,,,,,-0.8,,51.41618731,0.81041276,16.44837749,,,,9.859683545,0.150076437,6.943536485,11.87604871,1.800917244,0.450229311,0.12006115,5,500,100000,,,,,,,,,,,,,,,,,,,,
15kV_10nA_TFB030vii,1150,,,,,-0.6,,51.41618731,0.81041276,16.44837749,,,,9.859683545,0.150076437,6.943536485,11.87604871,1.800917244,0.450229311,0.12006115,5,500,100000,,,,,,,,,,,,,,,,,,,,
15kV_10nA_TFB030vii,1150,,,,,-0.4,,51.41618731,0.81041276,16.44837749,,,,9.859683545,0.150076437,6.943536485,11.87604871,1.800917244,0.450229311,0.12006115,5,500,100000,,,,,,,,,,,,,,,,,,,,
15kV_10nA_TFB030vii,1150,,,,,-0.2,,51.41618731,0.81041276,16.44837749,,,,9.859683545,0.150076437,6.943536485,11.87604871,1.800917244,0.450229311,0.12006115,5,500,100000,,,,,,,,,,,,,,,,,,,,
15kV_10nA_TFB030vii,1150,,,,,0,,51.41618731,0.81041276,16.44837749,,,,9.859683545,0.150076437,6.943536485,11.87604871,1.800917244,0.450229311,0.12006115,5,500,100000,,,,,,,,,,,,,,,,,,,,
15kV_10nA_TFB030vii,1150,,,,,0.2,,51.41618731,0.81041276,16.44837749,,,,9.859683545,0.150076437,6.943536485,11.87604871,1.800917244,0.450229311,0.12006115,5,500,100000,,,,,,,,,,,,,,,,,,,,
15kV_10nA_TFB030vii,1150,,,,,0.4,,51.41618731,0.81041276,16.44837749,,,,9.859683545,0.150076437,6.943536485,11.87604871,1.800917244,0.450229311,0.12006115,5,500,100000,,,,,,,,,,,,,,,,,,,,
15kV_10nA_TFB030vii,1150,,,,,0.6,,51.41618731,0.81041276,16.44837749,,,,9.859683545,0.150076437,6.943536485,11.87604871,1.800917244,0.450229311,0.12006115,5,500,100000,,,,,,,,,,,,,,,,,,,,
15kV_10nA_TFB030vii,1150,,,,,0.8,,51.41618731,0.81041276,16.44837749,,,,9.859683545,0.150076437,6.943536485,11.87604871,1.800917244,0.450229311,0.12006115,5,500,100000,,,,,,,,,,,,,,,,,,,,
15kV_10nA_TFB030vii,1150,,,,,1,,51.41618731,0.81041276,16.44837749,,,,9.859683545,0.150076437,6.943536485,11.87604871,1.800917244,0.450229311,0.12006115,5,500,100000,,,,,,,,,,,,,,,,,,,,
15kV_10nA_TFB030vii,1150,,,,,1.2,,51.41618731,0.81041276,16.44837749,,,,9.859683545,0.150076437,6.943536485,11.87604871,1.800917244,0.450229311,0.12006115,5,500,100000,,,,,,,,,,,,,,,,,,,,
15kV_10nA_TFB030vii,1150,,,,,1.4,,51.41618731,0.81041276,16.44837749,,,,9.859683545,0.150076437,6.943536485,11.87604871,1.800917244,0.450229311,0.12006115,5,500,100000,,,,,,,,,,,,,,,,,,,,
15kV_10nA_TFB030vii,1150,,,,,1.6,,51.41618731,0.81041276,16.44837749,,,,9.859683545,0.150076437,6.943536485,11.87604871,1.800917244,0.450229311,0.12006115,5,500,100000,,,,,,,,,,,,,,,,,,,,
